STATISTICNA REGIJA,MERITVE,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
SLOVENIJA,Struktura (Slovenija = 100%),100,100,100,100,100,100,100,100,100,100,100,100,100
Pomurska,Struktura (Slovenija = 100%),3.8,3.8,3.7,3.8,3.9,3.9,3.9,3.8,3.8,3.8,3.8,3.7,3.8
Podravska,Struktura (Slovenija = 100%),13.3,13.2,13,13,13,13,13.1,12.9,12.8,12.6,12.6,12.7,12.7
Koroška,Struktura (Slovenija = 100%),2.8,2.7,2.6,2.7,2.8,2.8,2.8,2.8,2.8,2.7,2.8,2.7,2.7
Savinjska,Struktura (Slovenija = 100%),11.2,11,11.2,11.4,11.4,11.3,11.3,11.4,11.4,11.3,11.2,11.1,11
Zasavska,Struktura (Slovenija = 100%),1.8,1.8,1.8,1.7,1.7,1.7,1.6,1.5,1.5,1.5,1.4,1.4,1.5
Posavska,Struktura (Slovenija = 100%),3,3,3,3.1,3.1,3.1,3.1,3.1,3.1,3,3,3.1,3.2
Jugovzhodna,Struktura (Slovenija = 100%),6.7,6.6,6.6,6.6,6.5,6.6,6.6,6.6,6.5,6.7,6.8,6.9,7
Osrednjeslovenska,Struktura (Slovenija = 100%),35.9,36.8,36.6,36.5,36.9,36.7,36.7,36.6,36.9,36.8,37.1,37.2,38.1
Gorenjska,Struktura (Slovenija = 100%),8.4,8.1,8.2,8.2,8.3,8.5,8.7,8.7,8.7,8.8,8.8,8.8,8.4
Primorsko-notranjska,Struktura (Slovenija = 100%),1.9,1.9,1.8,1.8,1.8,1.8,1.8,1.9,1.9,1.8,1.8,1.8,1.7
Goriška,Struktura (Slovenija = 100%),5.6,5.5,5.4,5.4,5.3,5.3,5.2,5.3,5.3,5.3,5.1,5,4.9
Obalno kraška,Struktura (Slovenija = 100%),5.7,5.8,5.9,5.7,5.5,5.3,5.3,5.5,5.5,5.6,5.6,5.5,5.1
