LETO;MERITVE;SLOVENIJA;Pomurska;Podravska;Koroška;Savinjska;Zasavska;Posavska;Jugovzhodna;Osrednjeslovenska;Gorenjska;Primorsko-notranjska;Goriška;Obalno-kraška
2011;Stopnja zelo nizke delovne intenzivnosti (% oseb);7.6;11.9;8.3;12.5;8.6;10.4;12.5;7.7;6.3;5.6;7.6;3.5;6.1
2012;Stopnja zelo nizke delovne intenzivnosti (% oseb);7.5;9.3;9.7;9.8;9.3;12.4;10.0;7.9;5.9;6.4;3.9;5.2;3.7
2013;Stopnja zelo nizke delovne intenzivnosti (% oseb);8.0;7.1;9.3;10.4;8.7;12.9;12.5;9.9;6.8;6.6;4.2;6.9;5.3
2014;Stopnja zelo nizke delovne intenzivnosti (% oseb);8.7;10.4;10.9;11.1;7.8;13.4;10.7;10.0;6.4;7.6;9.5;8.4;10.5
2015;Stopnja zelo nizke delovne intenzivnosti (% oseb);7.4;7.1;7.9;6.9;7.7;12.3;10.9;7.9;6.1;8.3;5.1;6.2;6.1
2016;Stopnja zelo nizke delovne intenzivnosti (% oseb);7.4;8.1;8.9;5.8;9.3;12.1;10.9;7.9;5.6;6.8;4.3;5.8;5.7
2017;Stopnja zelo nizke delovne intenzivnosti (% oseb);6.2;5.9;9.2;5.8;7.5;7.3;9.7;7.1;4.2;4.6;4.6;4.8;6.4
2018;Stopnja zelo nizke delovne intenzivnosti (% oseb);5.4;6.0;6.9;8.6;7.1;6.6;7.5;4.3;3.9;3.2;5.6;3.8;5.2
2019;Stopnja zelo nizke delovne intenzivnosti (% oseb);5.2;5.8;6.7;6.2;7.7;8.3;5.4;3.8;3.9;3.2;3.8;4.0;5.5
2020;Stopnja zelo nizke delovne intenzivnosti (% oseb);4.8;6.3;5.1;6.6;7.4;7.3;3.2;2.7;3.8;4.3;2.6;2.9;4.7
