Spol,Oznaka regije,Regija,stalez_2008,stalez_2009,stalez_2010,stalez_2011,stalez_2012,stalez_2013,stalez_2014,stalez_2015,stalez_2016,stalez_2017,stalez_2018,stalez_2019,stalez_2020
m,00,slo,13.1,13,12.9,12.6,13.2,12.6,11.4,12,11.8,12.4,13.2,14,14.2
m,01,ms,16.5,15.1,16.5,15.9,14,12.7,15,14.3,15.1,16.9,17.9,19,20.2
m,02,mb,14.3,14.3,13.7,14,17.5,15.4,13.1,12.8,13,11.8,14.6,15,14.3
m,03,sg,15.7,15,15.4,16.6,13.8,15.4,16.3,18.6,17.9,18.4,20.9,21.6,20.6
m,04,ce,14.5,14.6,16,14.8,16.3,15.8,13.9,14.8,13.9,14.5,15.5,16.4,16.8
m,05,za,18.4,17.7,14.6,15.2,13.1,12.1,11.5,13.5,14.7,14.2,14.2,13.3,14.7
m,06,kk,12,12.2,14,15.4,17.9,19.3,15.9,18.6,16.7,16.9,20.6,20.1,14.9
m,07,nm,13.8,14.3,14.5,14.6,12.8,12.9,12.3,12.5,12.6,13.3,13.4,14.5,14.9
m,08,lj,11.5,11.5,10.5,10,11.1,10.8,9.1,10,9.7,10.5,10.4,11.5,12.4
m,09,kr,12.4,11.6,11.5,11.1,10.2,10,9.3,9.9,10.3,12.2,12.4,13.4,13.3
m,10,po,15,14,15.3,14.4,11.8,12.3,12.5,11.9,11.8,14.1,13,16.2,13.4
m,11,ng,11.2,12.4,12.2,12,11.8,10.9,11,11,11.5,11.6,13.1,13.2,13.9
m,12,kp,13.5,12,12.7,13.3,13.5,11.4,10.6,10.4,9.9,12,12.6,12.7,13.4
z,00,slo,18.6,18.1,17.5,17.5,18.1,17.7,16.5,17.5,17.6,18.8,20.4,22.3,22.5
z,01,ms,21.5,21.1,18,17.8,13.3,14,16.7,15.9,17,19.2,21,24.3,27
z,02,mb,18,18.5,17.9,18.6,21.8,20.7,18.7,19.7,19.1,17.8,22.6,24.5,23.7
z,03,sg,21,19.7,18.7,20.6,15.9,16.6,19.5,21.3,21.9,27.8,27.4,29.5,26.7
z,04,ce,20,18.7,20.1,19,21.7,20.4,18.9,19.8,20.3,20.5,23,25.9,25
z,05,za,22.8,19.4,18.7,19.5,18,18,19.7,20.2,23,23.9,25.2,24.4,26.3
z,06,kk,15.8,16.4,17.2,17.9,21.4,21.2,20.2,21.2,21.3,21.4,25,27.8,22.2
z,07,nm,19.3,18.6,18.5,18.7,16.1,16.3,16.3,17.7,19,19.6,21.1,22.8,22.1
z,08,lj,17.8,17.4,15.8,15.8,17.6,17.2,14.9,16.3,15.9,17.6,17.8,19.2,20.9
z,09,kr,17.1,15.4,15.8,14.1,13.2,13,12.7,14.2,15.4,17.7,19.9,21.8,20.9
z,10,po,23.2,21.3,23.1,23.2,18,18.4,18.1,18.7,18.2,22,23.1,24.4,22.4
z,11,ng,15.5,17,16.6,17,16,14.7,15.2,16.4,16.7,18.1,18.4,20.8,21
z,12,kp,21.1,20.6,20.9,22.2,19.8,20.3,18.3,17.3,16.6,19.2,19.7,22.2,22.1
