Regija,long,lat,Oznaka regije
Gorenjska,14.137366686868933,46.30467128428797,kr
Goriška,13.77435701940932,46.09766557044659,ng
Jugovzhodna,15.012013616716265,45.71187774912644,nm
Koroška,15.087508810221113,46.53303181852788,sg
Primorsko-notranjska,14.290304239816145,45.69116481457171,po
Obalno-kraška,13.880645090353434,45.62441194445137,kp
Osrednjeslovenska,14.587869688983503,46.02917641600542,lj
Podravska,15.744954439292195,46.47457920763387,mb
Pomurska,16.174304924324176,46.66988884582679,ms
Savinjska,15.195188935126831,46.26335107369198,ce
Posavska,15.434177253152098,45.95978200941237,kk
Zasavska,15.002533355963672,46.13490432409286,za
